DATE,NROUST
1/1/1949,5.255
4/1/1949,5.261
7/1/1949,5.268
10/1/1949,5.274
1/1/1950,5.281
4/1/1950,5.287
7/1/1950,5.294
10/1/1950,5.301
1/1/1951,5.308
4/1/1951,5.314
7/1/1951,5.321
10/1/1951,5.327
1/1/1952,5.333
4/1/1952,5.339
7/1/1952,5.344
10/1/1952,5.35
1/1/1953,5.354
4/1/1953,5.359
7/1/1953,5.362
10/1/1953,5.366
1/1/1954,5.369
4/1/1954,5.373
7/1/1954,5.375
10/1/1954,5.378
1/1/1955,5.381
4/1/1955,5.383
7/1/1955,5.386
10/1/1955,5.388
1/1/1956,5.39
4/1/1956,5.393
7/1/1956,5.395
10/1/1956,5.398
1/1/1957,5.401
4/1/1957,5.404
7/1/1957,5.407
10/1/1957,5.41
1/1/1958,5.414
4/1/1958,5.418
7/1/1958,5.422
10/1/1958,5.427
1/1/1959,5.432
4/1/1959,5.438
7/1/1959,5.443
10/1/1959,5.45
1/1/1960,5.456
4/1/1960,5.463
7/1/1960,5.469
10/1/1960,5.476
1/1/1961,5.483
4/1/1961,5.491
7/1/1961,5.498
10/1/1961,5.506
1/1/1962,5.514
4/1/1962,5.523
7/1/1962,5.531
10/1/1962,5.541
1/1/1963,5.551
4/1/1963,5.561
7/1/1963,5.572
10/1/1963,5.583
1/1/1964,5.595
4/1/1964,5.607
7/1/1964,5.62
10/1/1964,5.633
1/1/1965,5.645
4/1/1965,5.659
7/1/1965,5.672
10/1/1965,5.685
1/1/1966,5.697
4/1/1966,5.71
7/1/1966,5.722
10/1/1966,5.734
1/1/1967,5.746
4/1/1967,5.758
7/1/1967,5.769
10/1/1967,5.78
1/1/1968,5.792
4/1/1968,5.803
7/1/1968,5.815
10/1/1968,5.826
1/1/1969,5.838
4/1/1969,5.851
7/1/1969,5.863
10/1/1969,5.876
1/1/1970,5.89
4/1/1970,5.904
7/1/1970,5.918
10/1/1970,5.932
1/1/1971,5.947
4/1/1971,5.963
7/1/1971,5.978
10/1/1971,5.994
1/1/1972,6.009
4/1/1972,6.025
7/1/1972,6.041
10/1/1972,6.056
1/1/1973,6.071
4/1/1973,6.086
7/1/1973,6.1
10/1/1973,6.113
1/1/1974,6.126
4/1/1974,6.138
7/1/1974,6.15
10/1/1974,6.16
1/1/1975,6.17
4/1/1975,6.18
7/1/1975,6.188
10/1/1975,6.197
1/1/1976,6.204
4/1/1976,6.211
7/1/1976,6.217
10/1/1976,6.223
1/1/1977,6.227
4/1/1977,6.232
7/1/1977,6.235
10/1/1977,6.237
1/1/1978,6.239
4/1/1978,6.239
7/1/1978,6.239
10/1/1978,6.238
1/1/1979,6.235
4/1/1979,6.232
7/1/1979,6.228
10/1/1979,6.223
1/1/1980,6.217
4/1/1980,6.21
7/1/1980,6.203
10/1/1980,6.195
1/1/1981,6.187
4/1/1981,6.178
7/1/1981,6.169
10/1/1981,6.16
1/1/1982,6.15
4/1/1982,6.141
7/1/1982,6.131
10/1/1982,6.122
1/1/1983,6.112
4/1/1983,6.103
7/1/1983,6.094
10/1/1983,6.085
1/1/1984,6.076
4/1/1984,6.066
7/1/1984,6.057
10/1/1984,6.048
1/1/1985,6.038
4/1/1985,6.029
7/1/1985,6.019
10/1/1985,6.008
1/1/1986,5.997
4/1/1986,5.986
7/1/1986,5.973
10/1/1986,5.961
1/1/1987,5.947
4/1/1987,5.933
7/1/1987,5.917
10/1/1987,5.901
1/1/1988,5.885
4/1/1988,5.867
7/1/1988,5.849
10/1/1988,5.83
1/1/1989,5.811
4/1/1989,5.791
7/1/1989,5.772
10/1/1989,5.752
1/1/1990,5.732
4/1/1990,5.713
7/1/1990,5.693
10/1/1990,5.674
1/1/1991,5.656
4/1/1991,5.637
7/1/1991,5.619
10/1/1991,5.602
1/1/1992,5.585
4/1/1992,5.569
7/1/1992,5.553
10/1/1992,5.537
1/1/1993,5.522
4/1/1993,5.507
7/1/1993,5.493
10/1/1993,5.48
1/1/1994,5.467
4/1/1994,5.454
7/1/1994,5.442
10/1/1994,5.431
1/1/1995,5.42
4/1/1995,5.409
7/1/1995,5.399
10/1/1995,5.389
1/1/1996,5.379
4/1/1996,5.369
7/1/1996,5.36
10/1/1996,5.35
1/1/1997,5.341
4/1/1997,5.332
7/1/1997,5.323
10/1/1997,5.313
1/1/1998,5.304
4/1/1998,5.294
7/1/1998,5.285
10/1/1998,5.275
1/1/1999,5.265
4/1/1999,5.255
7/1/1999,5.245
10/1/1999,5.235
1/1/2000,5.224
4/1/2000,5.214
7/1/2000,5.204
10/1/2000,5.193
1/1/2001,5.183
4/1/2001,5.172
7/1/2001,5.161
10/1/2001,5.151
1/1/2002,5.14
4/1/2002,5.129
7/1/2002,5.119
10/1/2002,5.108
1/1/2003,5.097
4/1/2003,5.087
7/1/2003,5.077
10/1/2003,5.067
1/1/2004,5.057
4/1/2004,5.047
7/1/2004,5.038
10/1/2004,5.028
1/1/2005,5.02
4/1/2005,5.011
7/1/2005,5.003
10/1/2005,4.996
1/1/2006,4.99
4/1/2006,4.984
7/1/2006,4.976
10/1/2006,4.965
1/1/2007,4.95
4/1/2007,4.935
7/1/2007,4.919
10/1/2007,4.905
1/1/2008,4.892
4/1/2008,4.938
7/1/2008,4.966
10/1/2008,5.078
1/1/2009,5.184
4/1/2009,5.253
7/1/2009,5.363
10/1/2009,5.47
1/1/2010,5.612
4/1/2010,5.653
7/1/2010,5.687
10/1/2010,5.729
1/1/2011,5.761
4/1/2011,5.777
7/1/2011,5.784
10/1/2011,5.799
1/1/2012,5.765
4/1/2012,5.729
7/1/2012,5.658
10/1/2012,5.6
1/1/2013,5.458
4/1/2013,5.309
7/1/2013,5.202
10/1/2013,5.084
1/1/2014,4.975
4/1/2014,4.885
7/1/2014,4.813
10/1/2014,4.76
1/1/2015,4.728
4/1/2015,4.698
7/1/2015,4.674
10/1/2015,4.655
1/1/2016,4.641
4/1/2016,4.633
7/1/2016,4.626
10/1/2016,4.621
1/1/2017,4.616
4/1/2017,4.611
7/1/2017,4.607
10/1/2017,4.602
1/1/2018,4.597
4/1/2018,4.592
7/1/2018,4.587
10/1/2018,4.582
1/1/2019,4.577
4/1/2019,4.572
7/1/2019,4.567
10/1/2019,4.562
1/1/2020,4.558
4/1/2020,4.553
7/1/2020,4.548
10/1/2020,4.543
1/1/2021,4.538
4/1/2021,4.533
7/1/2021,4.528
10/1/2021,4.523
1/1/2022,4.519
4/1/2022,4.514
7/1/2022,4.51
10/1/2022,4.505
1/1/2023,4.501
4/1/2023,4.497
7/1/2023,4.492
10/1/2023,4.488
1/1/2024,4.484
4/1/2024,4.48
7/1/2024,4.476
10/1/2024,4.472
1/1/2025,4.468
4/1/2025,4.464
7/1/2025,4.46
10/1/2025,4.456
1/1/2026,4.452
4/1/2026,4.447
7/1/2026,4.443
10/1/2026,4.439
1/1/2027,4.434
4/1/2027,4.429
7/1/2027,4.425
10/1/2027,4.42
1/1/2028,4.415
4/1/2028,4.411
7/1/2028,4.406
10/1/2028,4.401
1/1/2029,4.396
4/1/2029,4.391
7/1/2029,4.386
10/1/2029,4.381
